Title,Price,Reviews count,Rating,Link
LG 420L Bottom Mount Refrigerator,898,5556,4.5,https://www.thegoodguys.com.au/lg-420l-bottom-mount-refrigerator-gb-455ble
Hisense 496L Top Mount Refrigerator,999,5307,4.5,https://www.thegoodguys.com.au/hisense-496l-top-mount-refrigerator-hrtf496sw
CHiQ 90L Bar Fridge,249,5181,4.5,https://www.thegoodguys.com.au/chiq-90l-bar-fridge-csr090dw
CHiQ 118L Top Mount Refrigerator,349,5306,4.0,https://www.thegoodguys.com.au/chiq-118l-top-mount-refrigerator-ctm118dw
Hisense 179L Bar Fridge,399,5126,4.5,https://www.thegoodguys.com.au/hisense-179l-bar-fridge-hrbf179b
Hisense 242L All Fridge,699,5168,4.5,https://www.thegoodguys.com.au/hisense-242l-all-fridge-hraf242
LG 315L Top Mount Refrigerator,899,5241,4.5,https://www.thegoodguys.com.au/lg-315l-top-mount-refrigerator-gt-3s
LG 375L Top Mount Refrigerator,999,5242,4.5,https://www.thegoodguys.com.au/lg-375l-top-mount-refrigerator-gt-5s
Westinghouse 425L Bottom Mount Refrigerator,1149,5250,4.5,https://www.thegoodguys.com.au/westinghouse-425l-bottom-mount-refrigerator-wbe4302wc-r
LG 420L Bottom Mount Refrigerator,1199,51149,4.5,https://www.thegoodguys.com.au/lg-420l-bottom-mount-refrigerator-gb-455wl
